Name,Ratings,Review,Cost(₹)
makcons,5 out of 5 stars,Even better than first thoughts!!,24623.99
shah9297,1 out of 5 stars,Make sure the package were never opened,24623.99
steelers33373-0,5 out of 5 stars,Extremely high quality for such a cheap IPad.,24623.99
dragon_884,5 out of 5 stars,Great value for money...,24623.99
peace3767,5 out of 5 stars,"I recently got a Smart Keyboard, so now I can use my  iPad as a computer.  It’s great, I love it!",24623.99
colormecrazy22,5 out of 5 stars,Wow! What a pleasant surprise!,24623.99
cherylheflin,5 out of 5 stars,For the most part I love it!,24623.99
mathedun-7,5 out of 5 stars,What a difference!  Awesome!,24623.99
onecaringheart,5 out of 5 stars,Sparkling with extreme happiness!,24623.99
therapydogmom,5 out of 5 stars,Just what I hoped for!,24623.99
shupa7632,5 out of 5 stars,Looks completely new,24623.99
sawkus6,4 out of 5 stars,Great set up,24623.99
innxss,5 out of 5 stars,Great Apple product.,24623.99
magochi2233,5 out of 5 stars,Excellent,24623.99
kyrka1,5 out of 5 stars,Good product,24623.99
specleader,5 out of 5 stars,Perfect Birthday gift,24623.99
hobbes0022,5 out of 5 stars,Good+,24623.99
pcdurst,5 out of 5 stars,Awesome!,24623.99
mrsskydiver,5 out of 5 stars,Awesome deal,24623.99
shivashek0,5 out of 5 stars,Good game,24623.99
